,NO,RUAS,PANJANG,IRI_RATA,SDI_RATA,LEBAR_RATA,IRI_BAIK,IRI_SEDANG,IRI_RUSAK_RINGAN,IRI_RUSAK_BERAT,IRI_TOTAL,SDI_BAIK,SDI_SEDANG,SDI_RUSAK_RINGAN,SDI_RUSAK_BERAT,SDI_TOTAL,LESS_ENAM,ENAM_TUJUH,TUJUH_EMPAT_BELAS,GREATER_EMPAT_BELAS,PANJANG_TOTAL,BIAYA_IRI,BIAYA_SDI
44,019.,JEMBATAN KIKIM BESAR/KM. 256 - BT,22.15,6.643340857787808,74.98871331828441,7.000000000000001,3.8000000000000016,13.649999999999967,3.9000000000000017,0.7999999999999999,22.149999999999967,3.200000000000001,8.849999999999984,8.899999999999984,1.2,22.149999999999967,0.0,22.15000000000005,0.0,0.0,22.15000000000005,23758900000.000008,47424899999.99994
45,019.11K,JLN. JEND. AHMAD YANI (LAHAT),4.138,5.0241662638956015,73.73223779603673,7.0,1.2,2.938000000000001,0.0,0.0,4.138000000000002,0.30000000000000004,2.5380000000000007,1.3,0.0,4.138000000000001,0.0,4.138000000000002,0.0,0.0,4.138000000000002,206900000.0000001,5466700000.0
46,019.12K,JLN. LETNAN MARZUKI (LAHAT),1.16,3.948275862068965,4.137931034482758,7.0,0.76,0.4,0.0,0.0,1.16,1.16,0.0,0.0,0.0,1.16,0.0,1.16,0.0,0.0,1.16,58000000.0,57999999.99999999
47,020.,BTS. KOTA LAHAT - MUARA ENIM,38.0,5.173684210526316,52.915789473684214,7.0,13.399999999999967,23.200000000000053,1.2,0.2,38.000000000000036,14.299999999999963,16.29999999999996,7.29999999999999,0.1,37.99999999999992,0.0,38.00000000000027,0.0,0.0,38.00000000000027,8473200000.000002,32294799999.99996
48,020.11K,JLN. KOL. BURLIAN (LAHAT),2.2000000000000006,3.772727272727273,6.136363636363635,6.9999999999999964,1.3,0.8999999999999999,0.0,0.0,2.2,2.2000000000000006,0.0,0.0,0.0,2.2000000000000006,0.0,2.2000000000000006,0.0,0.0,2.2000000000000006,110000000.0,110000000.00000004
49,020.12K,JLN. MUHAMMAD NUH (LAHAT),0.29700000000000004,4.999999999999999,8.367003367003365,7.0,0.0,0.29700000000000004,0.0,0.0,0.29700000000000004,0.29700000000000004,0.0,0.0,0.0,0.29700000000000004,0.0,0.29700000000000004,0.0,0.0,0.29700000000000004,14850000.000000002,14850000.000000002
50,020.15K,JLN. PROF. EMIL SALIM (LAHAT),1.04,5.53846153846154,3.0769230769230766,11.105769304128797,0.1,0.94,0.0,0.0,1.04,1.0399999999999998,0.0,0.0,0.0,1.0399999999999998,0.0,0.0,0.94,0.1,1.04,52000000.0,51999999.99999999
51,020.16K,JLN. HARUN SOHAR (LAHAT),0.6,4.333333333333334,4.166666666666667,9.8166667620341,0.30000000000000004,0.30000000000000004,0.0,0.0,0.6000000000000001,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.1,0.6,30000000.000000004,30000000.0
52,021.,BTS. KOTA MUARA ENIM - SIMPANG SU,53.0,4.3415094339622655,29.86037735849057,6.0,29.80000000000016,20.900000000000027,2.3000000000000007,0.0,53.000000000000185,38.00000000000027,9.099999999999984,4.999999999999998,0.8999999999999999,53.00000000000025,53.000000000000476,0.0,0.0,0.0,53.000000000000476,11955800000.000013,30611000000.000008
53,021.11K,JLN. AHMAD YANI (MUARA ENIM),0.9,3.7777777777777786,21.66666666666667,14.000000000000002,0.6,0.30000000000000004,0.0,0.0,0.9,0.7,0.2,0.0,0.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.8999999999999999,45000000.0,45000000.0
54,022.,SIMPANG SUGIH WARAS - BTS. KOTA B,53.7,5.9702048417132225,44.854748603351965,6.0,10.299999999999981,35.60000000000024,6.199999999999994,1.6000000000000003,53.700000000000216,29.400000000000148,12.099999999999973,11.199999999999976,1.0,53.7000000000001,53.70000000000049,0.0,0.0,0.0,53.70000000000049,41514199999.99999,56590199999.99992
55,023.11K,BY PASS II / JL. GARUDA  (BATURAJ,4.199999999999998,5.047619047619049,88.07142857142858,7.000000000000003,1.4,2.600000000000001,0.1,0.1,4.2,0.2,1.8000000000000005,2.0000000000000004,0.2,4.200000000000001,0.0,4.200000000000001,0.0,0.0,4.200000000000001,1473600000.0,10020000000.000002
56,024.11K,BY PASS I / JL. GARUDA  (BATURAJA,5.499999999999997,4.763636363636366,71.20000000000005,14.000000000000016,1.9000000000000008,3.600000000000002,0.0,0.0,5.500000000000003,1.0,2.700000000000001,1.8000000000000005,0.0,5.500000000000003,0.0,0.0,5.4999999999999964,0.0,5.4999999999999964,275000000.0000001,7557800000.000002
57,025.,BTS. KOTA BATURAJA - MARTAPURA,32.49999999999999,5.5015384615384635,72.88000000000002,7.0000000000000036,8.199999999999987,20.800000000000026,3.3000000000000016,0.2,32.50000000000002,7.899999999999987,11.799999999999974,12.599999999999973,0.2,32.499999999999936,0.0,32.50000000000019,0.0,0.0,32.50000000000019,16694800000.000006,54322599999.999886
